,customer_id,req_id,insu_req_amount,insu_pay_amount,insu_cum_amount,insu_duration,customer_cost,risk
582,C121564,C121564-20111202-10712-01-001,2801282,2981268.0,920000,23,-0.06425129637073311,1
583,C121571,C121571-20120320-18330-01-001,1241918,1361918.0,2700000,27,-0.09662473689889349,1
584,C121584,C121584-20130712-12530-01-001,4650180,5486464.0,4930000,34,-0.1798390599933766,1
585,C121600,C121600-20120914-13341-01-001,712026,962026.0,1320000,33,-0.35111077404476804,1
586,C121614,C121614-20130619-17116-01-001,1879687,1896546.0,7480000,34,-0.008969046442306618,1
587,C121622,C121622-20130830-10575-02-001,482091,542091.0,7200000,36,-0.12445783057555523,1
588,C121638,C121638-20120410-13235-01-001,250000,450000.0,2700000,27,-0.8,1
589,C121661,C121661-20121226-10303-01-001,274630,854630.0,1240000,31,-2.1119324181626187,1
590,C121668,C121668-20121231-16315-01-001,364100,3164100.0,1350000,27,-7.690195001373249,1
591,C121724,C121724-20130916-19239-01-001,2276030,2966028.0,1560000,39,-0.3031585699661252,1
592,C121736,C121736-20110622-19059-01-001,432470,632470.0,760000,19,-0.46245982380280715,1
593,C121755,C121755-20120314-11219-01-001,121210,321210.0,6000000,20,-1.6500288755053214,1
594,C121771,C121771-20130827-10759-01-001,709471,1929426.0,1560000,39,-1.7195276480645438,1
595,C121787,C121787-20100907-16840-01-001,15272,515272.0,280000,7,-32.73965426925092,1
596,C121812,C121812-20111219-21226-01-001,395100,655100.0,2300000,23,-0.6580612503163756,1
597,C121844,C121844-20130114-14029-01-001,152940,212940.0,8700000,29,-0.39231071008238527,1
598,C121856,C121856-20110809-13410-01-001,119500,319500.0,2860000,13,-1.6736401673640167,1
599,C121858,C121858-20120810-18628-01-001,744750,944750.0,920000,23,-0.2685464921114468,1
600,C121860,C121860-20120905-11064-02-001,82300,282300.0,1200000,24,-2.4301336573511545,1
601,C121875,C121875-20130124-13484-01-001,1305684,4104684.0,3700000,37,-2.14370398963302,1
602,C121889,C121889-20121127-13735-01-001,47206,247206.0,5940000,27,-4.236749565733169,1
603,C121914,C121914-20130116-10597-01-001,97011,557011.0,1320000,33,-4.741730319242148,1
604,C121926,C121926-20130218-12080-01-001,2662506,3582506.0,1440000,36,-0.34553912742356263,1
605,C121928,C121928-20130213-20086-01-001,206200,406200.0,3900000,39,-0.9699321047526673,1
606,C121948,C121948-20130516-18864-01-001,1221815,1282893.0,3900000,39,-0.04998956470496761,1
607,C121974,C121974-20121220-21924-01-001,314600,414600.0,2700000,27,-0.3178639542275906,1
608,C122031,C122031-20120417-18147-01-001,406921,522020.0,2755000,19,-0.28285342855247086,1
609,C122034,C122034-20130521-19228-01-001,2911270,5281270.0,7700000,35,-0.814077704919159,1
610,C122039,C122039-20110920-19094-01-001,794600,1124600.0,1740000,12,-0.41530329725648124,1
611,C122067,C122067-20111209-16794-01-001,191416,491416.0,720000,18,-1.5672671041083295,1
612,C122097,C122097-20130314-14035-01-001,741392,2841356.0,3800000,38,-2.8324611002007036,1
613,C122101,C122101-20130509-13859-01-001,1448971,1548971.0,1720000,43,-0.06901449373382904,1
614,C122108,C122108-20120316-15956-01-001,282060,682060.0,4840000,22,-1.4181379848259235,1
615,C122109,C122109-20130711-16228-01-001,444948,584942.0,1400000,35,-0.3146300241826011,1
616,C122118,C122118-20100128-14851-01-001,64440,514440.0,300000,3,-6.983240223463687,1
617,C122148,C122148-20100714-10130-01-001,550361,700361.0,700000,7,-0.27254838188025676,1
618,C122184,C122184-20110914-11217-01-001,178416,498416.0,640000,16,-1.793561115595014,1
619,C122197,C122197-20120627-11156-01-001,1058557,2798557.0,880000,22,-1.64374710100637,1
